日期,单品编码,批发价格(元/千克),批发价格_异常标记
2020-07-01,102900005115762,3.88,False
2020-07-01,102900005115779,6.72,False
2020-07-01,102900005115786,3.19,False
2020-07-01,102900005115793,9.24,False
2020-07-01,102900005115823,7.03,False
2020-07-01,102900005115908,4.6,False
2020-07-01,102900005115946,4.2,False
2020-07-01,102900005115960,2.1,False
2020-07-01,102900005115984,3.44,False
2020-07-01,102900005116226,4.64,False
2020-07-01,102900005116233,5.76,False
2020-07-01,102900005116257,6.56,False
2020-07-01,102900005116509,1.63,False
2020-07-01,102900005116530,10.8,False
2020-07-01,102900005116547,4.06,False
2020-07-01,102900005116714,9.23,False
2020-07-01,102900005116790,3.97,False
2020-07-01,102900005116912,8.16,False
2020-07-01,102900005116943,7.83,False
2020-07-01,102900005117056,4.32,False
2020-07-01,102900005117209,7.58,False
2020-07-01,102900005118817,8.47,False
2020-07-01,102900005118824,5.65,False
2020-07-01,102900005118831,4.13,False
2020-07-01,102900005119944,10.29,False
2020-07-01,102900005119975,3.6,False
2020-07-01,102900005123880,7.5,False
2020-07-01,102900005125808,12.1,False
2020-07-01,102900005125815,6.16,False
2020-07-01,102900011001219,8.24,False
2020-07-01,102900011006948,11.69,False
2020-07-01,102900011008522,4.44,False
2020-07-01,102900011009970,6.03,False
2020-07-01,102900051000944,14.71,True
2020-07-01,102900051004294,6.81,False
2020-07-01,102900051010455,4.63,False
2020-07-02,102900005115762,3.93,False
2020-07-02,102900005115779,4.23,False
2020-07-02,102900005115786,3.18,False
2020-07-02,102900005115793,9.19,False
2020-07-02,102900005115823,7.03,False
2020-07-02,102900005115908,4.52,False
2020-07-02,102900005115946,4.23,False
2020-07-02,102900005115960,2.1,False
2020-07-02,102900005115984,3.58,False
2020-07-02,102900005116226,4.57,False
2020-07-02,102900005116233,5.71,False
2020-07-02,102900005116257,3.72,False
2020-07-02,102900005116509,1.46,False
2020-07-02,102900005116530,10.8,False
2020-07-02,102900005116547,4.05,False
2020-07-02,102900005116714,8.9,False
2020-07-02,102900005116790,3.97,False
2020-07-02,102900005116912,8.05,False
2020-07-02,102900005116943,7.27,False
2020-07-02,102900005117056,4.48,False
2020-07-02,102900005117209,7.33,False
2020-07-02,102900005118817,7.88,False
2020-07-02,102900005118824,5.76,False
2020-07-02,102900005118831,4.11,False
2020-07-02,102900005119944,10.13,False
2020-07-02,102900005119975,3.6,False
2020-07-02,102900005123880,6.46,False
2020-07-02,102900005125808,12.13,False
2020-07-02,102900005125815,6.15,False
2020-07-02,102900011000328,7.1,False
2020-07-02,102900011001219,8.24,False
2020-07-02,102900011006689,6.83,False
2020-07-02,102900011006948,11.75,False
2020-07-02,102900011008522,4.44,False
2020-07-02,102900011009970,5.52,False
2020-07-02,102900051000944,14.71,True
2020-07-02,102900051004294,6.85,False
2020-07-02,102900051010455,4.76,False
2020-07-03,102900005115762,3.57,False
2020-07-03,102900005115779,4.61,False
2020-07-03,102900005115786,3.79,False
2020-07-03,102900005115793,9.2,False
2020-07-03,102900005115823,6.76,False
2020-07-03,102900005115908,3.89,False
2020-07-03,102900005115946,4.3,False
2020-07-03,102900005115960,2.11,False
2020-07-03,102900005115984,3.75,False
2020-07-03,102900005116226,4.42,False
2020-07-03,102900005116233,5.7,False
2020-07-03,102900005116257,6.56,False
2020-07-03,102900005116509,1.48,False
2020-07-03,102900005116530,10.8,False
2020-07-03,102900005116547,4.05,False
2020-07-03,102900005116714,8.97,False
2020-07-03,102900005116790,3.98,False
2020-07-03,102900005116912,7.9,False
2020-07-03,102900005116943,6.75,False
2020-07-03,102900005117056,5.31,False
2020-07-03,102900005117209,6.21,False
2020-07-03,102900005118824,5.61,False
2020-07-03,102900005118831,4.05,False
2020-07-03,102900005119944,10.05,False
2020-07-03,102900005119975,3.6,False
2020-07-03,102900005123880,6.23,False
2020-07-03,102900005125808,12.2,False
2020-07-03,102900005125815,6.32,False
2020-07-03,102900011000328,6.58,False
2020-07-03,102900011001219,7.0,False
2020-07-03,102900011006689,6.88,False
2020-07-03,102900011006948,11.75,False
2020-07-03,102900011008522,4.47,False
