单品编码,单品名称,损耗率(%),损耗率_异常标记
102900005115168,牛首生菜,4.39,False
102900005115199,四川红香椿,10.46,False
102900005115250,西峡花菇(1),10.8,False
102900005115625,本地小毛白菜,0.18,True
102900005115748,白菜苔,8.78,False
102900005115762,苋菜,15.487500000000002,True
102900005115779,云南生菜,15.25,False
102900005115786,竹叶菜,13.62,False
102900005115793,小白菜,7.59,False
102900005115816,南瓜尖,13.46,False
102900005115823,上海青,14.43,False
102900005115854,萝卜叶,5.35,False
102900005115861,牛首油菜,12.17,False
102900005115878,茼蒿,6.27,False
102900005115885,蔡甸藜蒿,0.47,True
102900005115908,菜心,13.7,False
102900005115946,木耳菜,7.61,False
102900005115960,大白菜,15.487500000000002,True
102900005115977,豌豆尖,8.36,False
102900005115984,云南油麦菜,12.81,False
102900005116042,藕,15.32,False
102900005116219,红尖椒,6.73,False
102900005116226,青尖椒,6.72,False
102900005116233,红椒(1),11.76,False
102900005116257,紫茄子(2),6.07,False
102900005116509,青茄子(1),5.01,False
102900005116530,西峡香菇(1),13.82,False
102900005116547,金针菇(1),3.43,True
102900005116639,马齿苋,11.78,False
102900005116714,西兰花,9.26,False
102900005116776,本地菠菜,10.46,False
102900005116790,黄心菜(1),10.64,False
102900005116806,黑油菜,0.1,True
102900005116837,平菇,11.6,False
102900005116899,净藕(1),5.54,False
102900005116905,青杭椒(1),0.0,True
102900005116912,姬菇(1),8.99,False
102900005116943,红杭椒,9.99,False
102900005117056,泡泡椒(精品),7.08,False
102900005117209,七彩椒(1),15.487500000000002,True
102900005117353,白玉菇(1),9.43,False
102900005118572,本地上海青,11.99,False
102900005118817,菠菜,15.487500000000002,True
102900005118824,高瓜(1),15.487500000000002,True
102900005118831,娃娃菜,2.48,True
102900005119098,双孢菇,12.78,False
102900005119104,蟹味菇(1),9.24,False
102900005119944,海鲜菇(1),9.89,False
102900005119968,青杭椒(2),9.0,False
102900005119975,红薯尖,8.42,False
102900005122654,枝江红菜苔,11.38,False
102900005123880,灯笼椒(1),15.487500000000002,True
102900005125808,小米椒,5.86,False
102900005125815,杏鲍菇(1),5.05,False
102900005128748,黄花菜,15.487500000000002,True
102900011000175,快菜,15.487500000000002,True
102900011000328,螺丝椒,10.18,False
102900011000335,紫圆茄,0.32,True
102900011000571,随州泡泡青,12.2,False
102900011000632,紫白菜(1),15.487500000000002,True
102900011000861,红线椒,7.71,False
102900011001219,红灯笼椒(1),8.93,False
102900011001561,莲蓬(个),12.17,False
102900011001691,菱角,9.61,False
102900011001806,姬菇(包),12.42,False
102900011001813,金针菇(袋)(1),8.85,False
102900011002414,田七,15.487500000000002,True
102900011006689,东门口小白菜,15.487500000000002,True
102900011006948,外地茼蒿,15.487500000000002,True
102900011006955,冰草,15.01,False
102900011007044,银耳(朵),9.14,False
102900011007464,紫苏,12.88,False
102900011007471,薄荷叶,13.28,False
102900011007495,蒲公英,15.487500000000002,True
102900011007969,红莲藕带,15.487500000000002,True
102900011008133,丝瓜尖,15.487500000000002,True
102900011008164,奶白菜,15.487500000000002,True
102900011008485,芥菜,13.75,False
102900011008492,大芥兰,4.69,False
102900011008515,面条菜,12.8,False
102900011008522,甜白菜,9.43,False
102900011008577,猴头菇,15.487500000000002,True
102900011008676,荠菜,11.56,False
102900011009246,鲜木耳(1),7.63,False
102900011009277,荸荠,11.02,False
102900011009444,大龙茄子,10.94,False
102900011009772,水果辣椒(橙色),9.43,False
102900011009970,青梗散花,15.487500000000002,True
102900011010563,鸡枞菌,11.93,False
102900011010891,野藕(1),7.97,False
102900011011058,黑牛肝菌,10.17,False
102900011011546,海鲜菇(袋)(1),5.96,False
102900011011669,秀珍菇,11.93,False
102900011011782,虫草花(盒)(1),11.93,False
102900011012482,茶树菇(袋),9.97,False
102900011012871,黑皮鸡枞菌,11.03,False
102900011012994,杏鲍菇(袋),10.03,False
102900011013274,白玉菇(袋),6.57,False
102900011015384,马兰头,15.16,False
102900011015391,甘蓝叶,11.58,False
102900011016701,芜湖青椒(1),5.7,False
102900011016909,花茄子,6.98,False
102900011018095,虫草花(袋),11.13,False
102900011018132,野生粉藕,12.69,False
102900011021644,洪山菜苔,9.34,False
102900011021675,赤松茸,8.75,False
102900011021699,牛排菇,8.11,False
102900011021842,洪湖莲藕(粉藕),11.81,False
102900011022030,组合椒系列,9.43,False
102900011022764,长线茄,6.9,False
102900011022849,本地黄心油菜,6.73,False
102900011022924,青菜苔,10.94,False
102900011023075,活体银耳,11.13,False
102900011023464,小青菜(1),10.33,False
102900011023648,芜湖青椒(2),8.78,False
102900011023976,净藕(2),11.62,False
102900011024010,鲜藕带(袋),12.69,False
102900011026502,鲜粽子叶,10.94,False
102900011026618,艾蒿,9.27,False
102900011026793,杏鲍菇(250克),9.43,False
102900011027462,奶白菜苗,10.94,False
102900011027479,小皱皮,8.71,False
102900011027615,菊花油菜,3.43,True
102900011028407,余干椒,9.43,False
102900011029176,辣妹子,0.0,True
102900011029275,紫尖椒,9.43,False
102900011029299,紫螺丝椒,0.0,True
102900011029305,水果辣椒,0.18,True
102900011029688,双沟白菜,10.75,False
102900011030042,枝江红菜苔(份),9.43,False
102900011030059,云南生菜(份),9.43,False
102900011030097,云南油麦菜(份),9.43,False
102900011030103,茼蒿(份),9.43,False
102900011030110,菠菜(份),9.43,False
102900011030134,菜心(份),9.43,False
102900011030141,上海青(份),9.43,False
102900011030158,小青菜(2),9.43,False
102900011030400,洪山菜薹珍品手提袋,0.0,True
102900011030417,洪山菜薹莲藕拼装礼盒,0.0,True
102900011030561,赤松茸(盒),0.0,True
102900011030608,牛排菇(盒),15.487500000000002,True
102900011030615,猪肚菇(盒),0.0,True
102900011030622,黑牛肝菌(盒),0.0,True
102900011030639,黑皮鸡枞菌(盒),0.0,True
102900011030905,鱼腥草(份),9.43,False
102900011030912,海鲜菇(份),9.43,False
102900011030929,鲜木耳(份),9.43,False
102900011031100,小米椒(份),9.43,False
102900011031216,冰草(盒),10.34,False
102900011031582,青尖椒(份),9.43,False
102900011031599,杏鲍菇(份),9.43,False
102900011031735,七彩椒(份),9.43,False
102900011031742,灯笼椒(份),9.43,False
102900011031759,红灯笼椒(份),9.43,False
102900011031841,双孢菇(份),9.43,False
102900011031858,金针菇(份),9.43,False
102900011031926,虫草花(份),9.43,False
102900011031995,姬菇(份),9.43,False
102900011032022,小皱皮(份),9.43,False
102900011032114,荸荠(份),9.43,False
102900011032145,芜湖青椒(份),9.43,False
102900011032176,紫苏(份),9.43,False
102900011032206,青杭椒(份),9.43,False
102900011032213,红杭椒(份),9.43,False
102900011032220,水果辣椒(份),9.43,False
102900011032237,青线椒(份),9.43,False
102900011032244,红尖椒(份),9.43,False
102900011032251,螺丝椒(份),9.43,False
102900011032282,襄甜红菜苔(袋),0.0,True
102900011032343,七彩椒(2),9.43,False
102900011032350,灯笼椒(2),9.43,False
102900011032367,红灯笼椒(2),9.43,False
102900011032480,白蒿,0.0,True
102900011032589,鱼腥草,9.43,False
102900011032619,西峡香菇(2),9.43,False
102900011032626,鲜木耳(2),9.43,False
102900011032633,海鲜菇(2),9.43,False
102900011032640,姬菇(2),9.43,False
102900011032732,高瓜(2),9.43,False
102900011032787,竹叶菜(份),9.43,False
102900011032848,姜蒜小米椒组合装(小份),9.43,False
102900011033081,春菜,15.487500000000002,True
102900011033173,槐花,15.487500000000002,True
102900011033234,红薯尖(份),9.43,False
102900011033241,蔡甸藜蒿(份),9.43,False
102900011033531,红珊瑚(粗叶),9.43,False
102900011033562,红橡叶,9.43,False
102900011033586,绿牛油,9.43,False
102900011033906,保康高山大白菜,9.43,False
102900011033913,紫白菜(2),9.43,False
102900011033920,黄心菜(2),9.43,False
102900011033937,金针菇(2),9.43,False
102900011033944,杏鲍菇(2),9.43,False
102900011033968,西峡花菇(2),9.43,False
102900011033975,青茄子(2),9.43,False
102900011033982,紫茄子(1),9.43,False
102900011033999,圆茄子(1),9.43,False
102900011034026,枝江青梗散花,9.43,False
102900011034200,苋菜(份),9.43,False
102900011034217,小白菜(份),9.43,False
102900011034224,小青菜(份),9.43,False
102900011034231,奶白菜(份),9.43,False
102900011034262,红椒(份),9.43,False
102900011034316,芝麻苋菜,0.0,True
102900011034323,鲜粽叶,0.0,True
102900011034330,双孢菇(盒),0.2,True
102900011034354,鲜粽叶(袋)(1),0.0,True
102900011034439,青红杭椒组合装(份),9.43,False
102900011034538,花菇(一人份),9.43,False
102900011034569,洪湖莲藕(脆藕),9.43,False
102900011034705,菌菇火锅套餐(份),9.43,False
102900011035078,红椒(2),9.43,False
102900011035481,外地茼蒿(份),9.43,False
102900011035511,净藕(3),9.43,False
102900011035740,蟹味菇与白玉菇双拼(盒),0.84,True
102900011035764,龙牙菜,9.43,False
102900011035771,黄白菜(1),9.43,False
102900011035788,西峡香菇(份) ,9.43,False
102900011035849,大白菜秧,0.0,True
102900011035962,野藕(2),9.43,False
102900011036068,菌蔬四宝(份),9.43,False
102900011036242,青红尖椒组合装(份),9.43,False
102900011036266,鹿茸菇(盒),0.0,True
102900011036686,木耳菜(份),9.43,False
102900051000463,圆茄子(2),6.71,False
102900051000890,芥兰,9.43,False
102900051000944,洪湖藕带,15.487500000000002,True
102900051004294,青线椒,7.8,False
102900051006229,藕尖,0.0,True
102900051009220,油菜苔,10.94,False
102900051009336,虫草花,11.68,False
102900051010455,黄白菜(2),15.487500000000002,True
102900051010790,紫贝菜,15.487500000000002,True
106930274220092,蟹味菇(袋),11.13,False
106930274620090,海鲜菇(袋)(2),0.0,True
106931885000035,绣球菌,11.13,False
106931885000356,绣球菌(袋),8.34,False
106949711300068,金针菇(袋)(3),11.13,False
106949711300167,金针菇(袋)(2),6.64,False
106949711300259,金针菇(盒),0.45,True
106956146480197,白玉菇(2),7.3,False
106956146480203,蟹味菇(2),15.487500000000002,True
106957634300010,白玉菇(盒),0.0,True
106957634300058,蟹味菇(盒),0.0,True
106958851400125,海鲜菇(袋)(4),11.13,False
106971533450003,海鲜菇(包),0.0,True
106971533455008,海鲜菇(袋)(3),1.3,True
106971563780002,鲜粽叶(袋)(2),0.0,True
106972776821582,鲜粽叶(袋)(3),9.43,False
106973223300667,虫草花(盒)(2),11.13,False
106973990980123,和丰阳光海鲜菇(包),0.12,True
