分类名称,日期,预测销量总量,加权进价,加权定价,毛利,品类进价,建议定价,建议加成率,补货量
水生根茎类,2023-07-01,88.95353,547.9778693556785,1095.955738711357,548.0,6.160271248494873,12.32,1.0,99.1
水生根茎类,2023-07-02,93.301346,565.9930713951588,1131.9861427903177,566.0,6.066290538354879,12.13,1.0,104.0
水生根茎类,2023-07-03,83.01923,475.2370764052868,950.4741528105736,475.2,5.7244213804951425,11.45,1.0,92.5
水生根茎类,2023-07-04,79.10401,458.3691248524189,916.7382497048378,458.4,5.794511756788419,11.59,1.0,88.2
水生根茎类,2023-07-05,86.06279,469.93672524094586,939.8734504818917,469.9,5.460393808917899,10.92,1.0,95.9
水生根茎类,2023-07-06,84.19621,472.31130850672724,944.6226170134545,472.3,5.609650279699094,11.22,1.0,93.8
水生根茎类,2023-07-07,101.08478,534.274132487774,1068.548264975548,534.3,5.28540640783281,10.57,1.0,112.7
花叶类,2023-07-01,672.1791,2293.5367065083983,4087.0824109979653,1793.5,3.412091783990349,6.08,0.782,758.4
花叶类,2023-07-02,714.4597,2423.3743950617313,4318.453172000005,1895.1,3.391897874839472,6.04,0.782,806.1
花叶类,2023-07-03,595.6661,2052.8108621048927,3658.108956270919,1605.3,3.4462443683461217,6.14,0.782,672.0
花叶类,2023-07-04,578.6009,2003.3402254831792,3569.9522818110254,1566.6,3.462387037857077,6.17,0.782,652.8
花叶类,2023-07-05,594.0839,2036.01881459713,3628.1855276120855,1592.2,3.427156895865758,6.11,0.782,670.2
花叶类,2023-07-06,593.5682,2025.3966163170337,3609.2567702769543,1583.9,3.4122392292765515,6.08,0.782,669.7
花叶类,2023-07-07,669.3294,2263.8110573470594,4034.1113041924596,1770.3,3.382207676155855,6.03,0.782,755.1
花菜类,2023-07-01,37.879093,294.83790308475494,467.9077521955061,173.1,7.783657907549182,12.35,0.587,42.5
花菜类,2023-07-02,36.806534,286.78409291386606,455.12635545430544,168.3,7.791662599015537,12.37,0.587,41.3
花菜类,2023-07-03,31.250502,244.10207629442215,387.38999507924797,143.3,7.81114105506302,12.4,0.587,35.0
花菜类,2023-07-04,30.972843,242.32461374521256,384.5691620136523,142.2,7.823776862003647,12.42,0.587,34.7
花菜类,2023-07-05,32.12394,251.63200417876243,399.33999063169597,147.7,7.833161436125966,12.43,0.587,36.0
花菜类,2023-07-06,32.826294,257.0719501888752,407.9731849497449,150.9,7.831281551830017,12.43,0.587,36.8
花菜类,2023-07-07,37.020077,290.17729767560957,460.5113714111924,170.3,7.838376446969789,12.44,0.587,41.5
茄类,2023-07-01,48.898067,185.35670358419418,309.9164083927727,124.6,3.7906754429787486,6.34,0.672,52.3
茄类,2023-07-02,55.53702,189.26973653316497,316.45899948345186,127.2,3.4079921996968547,5.7,0.672,59.3
茄类,2023-07-03,45.248177,159.29116322517396,266.3348249124909,107.0,3.5203885611208263,5.89,0.672,48.4
茄类,2023-07-04,43.30396,154.05897761821745,257.58661057765966,103.5,3.557618784913291,5.95,0.672,46.3
茄类,2023-07-05,49.90428,160.75460099697113,268.78169286693577,108.0,3.221258693457507,5.39,0.672,53.3
茄类,2023-07-06,51.05388,161.77165103197098,270.4822005254555,108.7,3.1686456520929402,5.3,0.672,54.6
茄类,2023-07-07,60.70215,186.01488079786301,311.01688069402695,125.0,3.064387103026299,5.12,0.672,64.9
辣椒类,2023-07-01,217.98619,1069.1943011140825,2059.2682239457226,990.1,4.9048717132507464,9.45,0.926,239.4
辣椒类,2023-07-02,235.83995,1061.7499383032323,2044.9303811720254,983.2,4.501993558662378,8.67,0.926,259.0
辣椒类,2023-07-03,200.05997,848.9961835646629,1635.1666495455408,786.2,4.243708504613542,8.17,0.926,219.7
辣椒类,2023-07-04,189.52151,819.6601134729385,1578.6653785488797,759.0,4.3248921576926325,8.33,0.926,208.1
辣椒类,2023-07-05,203.45753,832.8404611301422,1604.050728136654,771.2,4.093436313329973,7.88,0.926,223.5
辣椒类,2023-07-06,202.89436,837.0338384366036,1612.1271728288987,775.1,4.125466200225184,7.95,0.926,222.8
辣椒类,2023-07-07,237.96376,921.0107879960538,1773.8667776803995,852.9,3.8703825596842165,7.45,0.926,261.3
食用菌,2023-07-01,330.61667,1476.3932974004745,2471.4823798483944,995.1,4.465574295453668,7.48,0.674,360.0
食用菌,2023-07-02,368.74997,1593.5898128640652,2667.669346734445,1074.1,4.321599850166308,7.23,0.674,401.5
食用菌,2023-07-03,325.29398,1375.179048166275,2302.049726630344,926.9,4.227496204493559,7.08,0.674,354.2
食用菌,2023-07-04,325.95108,1350.864892115593,2261.3478294015026,910.5,4.144379244824107,6.94,0.674,354.9
食用菌,2023-07-05,328.07455,1364.8538918411732,2284.7654149421237,919.9,4.1601943014352525,6.96,0.674,357.2
食用菌,2023-07-06,329.90283,1372.9210820519925,2298.2698913550353,925.3,4.161592289459167,6.97,0.674,359.2
食用菌,2023-07-07,378.47916,1533.3490550374984,2566.8263181327725,1033.5,4.051343459018824,6.78,0.674,412.1
