品类,日期,基准需求(kg),优化后需求(kg),批发成本(元/kg),损耗率,建议零售价(元/kg),成本加成率,需求价格弹性,建议补货量(kg),预期日收益(元)
水生根茎类,2023-07-01,15.7,5.9,11.34,10.49%,19.33,70.5%,-2.9,6.6,39.0
水生根茎类,2023-07-02,16.3,6.1,11.34,10.49%,19.33,70.5%,-2.9,6.9,41.0
水生根茎类,2023-07-03,17.8,6.7,11.34,10.49%,19.33,70.5%,-2.9,7.5,45.0
水生根茎类,2023-07-04,19.0,7.1,11.34,10.49%,19.33,70.5%,-2.9,8.0,48.0
水生根茎类,2023-07-05,19.1,7.2,11.34,10.49%,19.33,70.5%,-2.9,8.0,48.0
水生根茎类,2023-07-06,18.6,7.0,11.34,10.49%,19.33,70.5%,-2.9,7.8,47.0
水生根茎类,2023-07-07,18.1,6.8,11.34,10.49%,19.33,70.5%,-2.9,7.6,45.0
花叶类,2023-07-01,182.7,165.3,3.13,9.63%,9.17,193.1%,-0.172,182.9,943.0
花叶类,2023-07-02,169.4,153.3,3.13,9.63%,9.17,193.1%,-0.172,169.6,874.0
花叶类,2023-07-03,150.8,136.5,3.13,9.63%,9.17,193.1%,-0.172,151.0,779.0
花叶类,2023-07-04,161.9,146.5,3.13,9.63%,9.17,193.1%,-0.172,162.1,836.0
花叶类,2023-07-05,174.7,158.0,3.13,9.63%,9.17,193.1%,-0.172,174.9,902.0
花叶类,2023-07-06,182.2,164.8,3.13,9.63%,9.17,193.1%,-0.172,182.4,940.0
花叶类,2023-07-07,182.6,165.2,3.13,9.63%,9.17,193.1%,-0.172,182.9,943.0
花菜类,2023-07-01,26.1,23.3,7.91,11.82%,22.16,180.2%,-0.17,26.5,308.0
花菜类,2023-07-02,25.3,22.6,7.91,11.82%,22.16,180.2%,-0.17,25.6,298.0
花菜类,2023-07-03,24.6,22.0,7.91,11.82%,22.16,180.2%,-0.17,25.0,290.0
花菜类,2023-07-04,25.8,23.0,7.91,11.82%,22.16,180.2%,-0.17,26.1,304.0
花菜类,2023-07-05,26.5,23.7,7.91,11.82%,22.16,180.2%,-0.17,26.9,313.0
花菜类,2023-07-06,26.8,24.0,7.91,11.82%,22.16,180.2%,-0.17,27.2,317.0
花菜类,2023-07-07,26.8,23.9,7.91,11.82%,22.16,180.2%,-0.17,27.1,316.0
茄类,2023-07-01,25.3,20.6,4.7,7.12%,13.7,191.7%,-0.391,22.2,178.0
茄类,2023-07-02,24.0,19.6,4.7,7.12%,13.7,191.7%,-0.391,21.1,169.0
茄类,2023-07-03,22.5,18.3,4.7,7.12%,13.7,191.7%,-0.391,19.7,158.0
茄类,2023-07-04,23.3,19.0,4.7,7.12%,13.7,191.7%,-0.391,20.4,164.0
茄类,2023-07-05,23.8,19.4,4.7,7.12%,13.7,191.7%,-0.391,20.8,167.0
茄类,2023-07-06,23.9,19.5,4.7,7.12%,13.7,191.7%,-0.391,21.0,169.0
茄类,2023-07-07,23.6,19.2,4.7,7.12%,13.7,191.7%,-0.391,20.7,166.0
辣椒类,2023-07-01,71.0,64.2,3.7,8.46%,11.58,212.5%,-0.157,70.2,484.0
辣椒类,2023-07-02,70.5,63.8,3.7,8.46%,11.58,212.5%,-0.157,69.7,480.0
辣椒类,2023-07-03,70.0,63.3,3.7,8.46%,11.58,212.5%,-0.157,69.1,476.0
辣椒类,2023-07-04,69.3,62.7,3.7,8.46%,11.58,212.5%,-0.157,68.4,472.0
辣椒类,2023-07-05,68.3,61.8,3.7,8.46%,11.58,212.5%,-0.157,67.5,465.0
辣椒类,2023-07-06,67.4,60.9,3.7,8.46%,11.58,212.5%,-0.157,66.5,459.0
辣椒类,2023-07-07,66.6,60.2,3.7,8.46%,11.58,212.5%,-0.157,65.8,454.0
食用菌,2023-07-01,24.2,10.4,4.36,8.00%,11.99,174.9%,-1.162,11.3,76.0
食用菌,2023-07-02,24.3,10.5,4.36,8.00%,11.99,174.9%,-1.162,11.4,76.0
食用菌,2023-07-03,24.1,10.4,4.36,8.00%,11.99,174.9%,-1.162,11.3,75.0
食用菌,2023-07-04,24.3,10.5,4.36,8.00%,11.99,174.9%,-1.162,11.4,76.0
食用菌,2023-07-05,25.5,11.0,4.36,8.00%,11.99,174.9%,-1.162,12.0,80.0
食用菌,2023-07-06,26.6,11.5,4.36,8.00%,11.99,174.9%,-1.162,12.5,83.0
食用菌,2023-07-07,27.4,11.8,4.36,8.00%,11.99,174.9%,-1.162,12.8,86.0
