品类,日期,基准需求(kg),优化后需求(kg),批发成本(元/kg),损耗率,建议零售价(元/kg),成本加成率,需求价格弹性,建议补货量(kg),预期日收益(元)
水生根茎类,2023-07-01,15.7,11.1,11.34,10.49%,22.68,100.0%,-1.392,12.4,111.0
水生根茎类,2023-07-02,16.3,11.5,11.34,10.49%,22.68,100.0%,-1.392,12.9,115.0
水生根茎类,2023-07-03,17.8,12.6,11.34,10.49%,22.68,100.0%,-1.392,14.1,126.0
水生根茎类,2023-07-04,19.0,13.4,11.34,10.49%,22.68,100.0%,-1.392,15.0,135.0
水生根茎类,2023-07-05,19.1,13.5,11.34,10.49%,22.68,100.0%,-1.392,15.1,135.0
水生根茎类,2023-07-06,18.6,13.2,11.34,10.49%,22.68,100.0%,-1.392,14.7,132.0
水生根茎类,2023-07-07,18.1,12.8,11.34,10.49%,22.68,100.0%,-1.392,14.3,128.0
花叶类,2023-07-01,182.7,182.7,3.13,9.63%,5.58,78.2%,-0.606,202.2,387.0
花叶类,2023-07-02,169.4,169.4,3.13,9.63%,5.58,78.2%,-0.606,187.5,358.0
花叶类,2023-07-03,150.8,150.8,3.13,9.63%,5.58,78.2%,-0.606,166.9,319.0
花叶类,2023-07-04,161.9,161.9,3.13,9.63%,5.58,78.2%,-0.606,179.2,343.0
花叶类,2023-07-05,174.7,174.7,3.13,9.63%,5.58,78.2%,-0.606,193.3,370.0
花叶类,2023-07-06,182.2,182.2,3.13,9.63%,5.58,78.2%,-0.606,201.6,385.0
花叶类,2023-07-07,182.6,182.6,3.13,9.63%,5.58,78.2%,-0.606,202.1,386.0
花菜类,2023-07-01,26.1,26.1,7.91,11.82%,12.55,58.7%,-0.952,29.6,93.0
花菜类,2023-07-02,25.3,25.3,7.91,11.82%,12.55,58.7%,-0.952,28.7,91.0
花菜类,2023-07-03,24.6,24.6,7.91,11.82%,12.55,58.7%,-0.952,27.9,88.0
花菜类,2023-07-04,25.8,25.8,7.91,11.82%,12.55,58.7%,-0.952,29.3,92.0
花菜类,2023-07-05,26.5,26.5,7.91,11.82%,12.55,58.7%,-0.952,30.1,95.0
花菜类,2023-07-06,26.8,26.8,7.91,11.82%,12.55,58.7%,-0.952,30.4,96.0
花菜类,2023-07-07,26.8,26.8,7.91,11.82%,12.55,58.7%,-0.952,30.4,96.0
茄类,2023-07-01,25.3,25.3,4.7,7.12%,7.86,67.2%,-0.73,27.2,71.0
茄类,2023-07-02,24.0,24.0,4.7,7.12%,7.86,67.2%,-0.73,25.8,67.0
茄类,2023-07-03,22.5,22.5,4.7,7.12%,7.86,67.2%,-0.73,24.2,63.0
茄类,2023-07-04,23.3,23.3,4.7,7.12%,7.86,67.2%,-0.73,25.1,65.0
茄类,2023-07-05,23.8,23.8,4.7,7.12%,7.86,67.2%,-0.73,25.6,67.0
茄类,2023-07-06,23.9,23.9,4.7,7.12%,7.86,67.2%,-0.73,25.7,67.0
茄类,2023-07-07,23.6,23.6,4.7,7.12%,7.86,67.2%,-0.73,25.4,66.0
辣椒类,2023-07-01,71.0,71.0,3.7,8.46%,7.12,92.6%,-0.726,77.6,219.0
辣椒类,2023-07-02,70.5,70.5,3.7,8.46%,7.12,92.6%,-0.726,77.0,217.0
辣椒类,2023-07-03,70.0,70.0,3.7,8.46%,7.12,92.6%,-0.726,76.5,216.0
辣椒类,2023-07-04,69.3,69.3,3.7,8.46%,7.12,92.6%,-0.726,75.7,214.0
辣椒类,2023-07-05,68.3,68.3,3.7,8.46%,7.12,92.6%,-0.726,74.6,211.0
辣椒类,2023-07-06,67.4,67.4,3.7,8.46%,7.12,92.6%,-0.726,73.6,208.0
辣椒类,2023-07-07,66.6,66.6,3.7,8.46%,7.12,92.6%,-0.726,72.8,205.0
食用菌,2023-07-01,24.2,24.2,4.36,8.00%,7.3,67.4%,-0.862,26.3,62.0
食用菌,2023-07-02,24.3,24.3,4.36,8.00%,7.3,67.4%,-0.862,26.4,62.0
食用菌,2023-07-03,24.1,24.1,4.36,8.00%,7.3,67.4%,-0.862,26.2,62.0
食用菌,2023-07-04,24.3,24.3,4.36,8.00%,7.3,67.4%,-0.862,26.4,62.0
食用菌,2023-07-05,25.5,25.5,4.36,8.00%,7.3,67.4%,-0.862,27.7,65.0
食用菌,2023-07-06,26.6,26.6,4.36,8.00%,7.3,67.4%,-0.862,28.9,68.0
食用菌,2023-07-07,27.4,27.4,4.36,8.00%,7.3,67.4%,-0.862,29.8,70.0
